pseudo_bulk	cluster	annotation
C20_Carp_S03	1	epithelial
C210_Carp_S03	1	epithelial
C213_Carp_S03	5	fibroblast
C23_Carp_S03	1	epithelial
C27_Carp_S03	1	epithelial
C32_Carp_S03	1	epithelial
C39_Carp_S03	0	myeloid
C40_Carp_S03	2	myeloid
C41_Carp_S03	6	endothelial
C49_Carp_S03	5	fibroblast
C53_Carp_S03	1	epithelial
C54_Carp_S03	0	myeloid
C57_Carp_S03	1	epithelial
C59_Carp_S03	1	epithelial
C67_Carp_S03	6	endothelial
C6_Carp_S03	5	fibroblast
C83_Carp_S03	1	epithelial
C86_Carp_S03	4	epithelial_malignant
C91_Carp_S03	1	epithelial
C98_Carp_S03	0	myeloid
C99_Carp_S03	0	myeloid
I101_Carp_S03	1	epithelial
I106_Carp_S03	1	epithelial
I108_Carp_S03	1	epithelial
I110_Carp_S03	1	epithelial
I117_Carp_S03	1	epithelial
I159_Carp_S03	1	epithelial
I16_Carp_S03	3	lymphoid
I171_Carp_S03	1	epithelial
I174_Carp_S03	1	epithelial
I39_Carp_S03	1	epithelial
I41_Carp_S03	1	epithelial
I45_Carp_S03	1	epithelial
I48_Carp_S03	1	epithelial
I55_Carp_S03	1	epithelial
I57_Carp_S03	5	fibroblast
I60_Carp_S03	1	epithelial
I67_Carp_S03	1	epithelial
I73_Carp_S03	1	epithelial
I74_Carp_S03	1	epithelial
I75_Carp_S03	1	epithelial
I78_Carp_S03	4	epithelial_malignant
I83_Carp_S03	5	fibroblast
I86_Carp_S03	5	fibroblast
I88_Carp_S03	6	endothelial
I92_Carp_S03	0	myeloid
C103_Carp_S04	6	endothelial
C129_Carp_S04	6	endothelial
C145_Carp_S04	6	endothelial
C153_Carp_S04	3	lymphoid
C155_Carp_S04	5	fibroblast
C174_Carp_S04	0	myeloid
C178_Carp_S04	6	endothelial
C17_Carp_S04	3	lymphoid
C181_Carp_S04	6	endothelial
C184_Carp_S04	0	myeloid
C189_Carp_S04	6	endothelial
C190_Carp_S04	6	endothelial
C195_Carp_S04	6	endothelial
C196_Carp_S04	3	lymphoid
C202_Carp_S04	6	endothelial
C209_Carp_S04	6	endothelial
C20_Carp_S04	0	myeloid
C211_Carp_S04	5	fibroblast
C213_Carp_S04	2	myeloid
C214_Carp_S04	6	endothelial
C219_Carp_S04	1	epithelial
C21_Carp_S04	5	fibroblast
C226_Carp_S04	6	endothelial
C233_Carp_S04	6	endothelial
C235_Carp_S04	6	endothelial
C236_Carp_S04	0	myeloid
C24_Carp_S04	6	endothelial
C25_Carp_S04	3	lymphoid
C33_Carp_S04	5	fibroblast
C37_Carp_S04	0	myeloid
C41_Carp_S04	6	endothelial
C49_Carp_S04	2	myeloid
C57_Carp_S04	3	lymphoid
C59_Carp_S04	3	lymphoid
C61_Carp_S04	5	fibroblast
C79_Carp_S04	0	myeloid
C85_Carp_S04	5	fibroblast
C86_Carp_S04	6	endothelial
C90_Carp_S04	3	lymphoid
I101_Carp_S04	3	lymphoid
I106_Carp_S04	3	lymphoid
I110_Carp_S04	5	fibroblast
I114_Carp_S04	1	epithelial
I115_Carp_S04	5	fibroblast
I119_Carp_S04	6	endothelial
I121_Carp_S04	0	myeloid
I122_Carp_S04	0	myeloid
I123_Carp_S04	5	fibroblast
I125_Carp_S04	5	fibroblast
I126_Carp_S04	0	myeloid
I127_Carp_S04	5	fibroblast
I128_Carp_S04	5	fibroblast
I131_Carp_S04	6	endothelial
I140_Carp_S04	5	fibroblast
I142_Carp_S04	6	endothelial
I145_Carp_S04	5	fibroblast
I150_Carp_S04	6	endothelial
I153_Carp_S04	0	myeloid
I155_Carp_S04	5	fibroblast
I157_Carp_S04	6	endothelial
I160_Carp_S04	6	endothelial
I161_Carp_S04	6	endothelial
I162_Carp_S04	3	lymphoid
I16_Carp_S04	3	lymphoid
I171_Carp_S04	5	fibroblast
I180_Carp_S04	3	lymphoid
I189_Carp_S04	3	lymphoid
I215_Carp_S04	5	fibroblast
I223_Carp_S04	0	myeloid
I23_Carp_S04	3	lymphoid
I30_Carp_S04	1	epithelial
I41_Carp_S04	6	endothelial
I45_Carp_S04	2	myeloid
I52_Carp_S04	3	lymphoid
I63_Carp_S04	3	lymphoid
I69_Carp_S04	1	epithelial
I76_Carp_S04	6	endothelial
I81_Carp_S04	5	fibroblast
I87_Carp_S04	1	epithelial
I94_Carp_S04	3	lymphoid
I95_Carp_S04	5	fibroblast
C19_Carp_S05	1	epithelial
C21_Carp_S05	1	epithelial
C31_Carp_S05	6	endothelial
C34_Carp_S05	0	myeloid
C3_Carp_S05	1	epithelial
C43_Carp_S05	1	epithelial
C58_Carp_S05	0	myeloid
I17_Carp_S05	1	epithelial
I21_Carp_S05	1	epithelial
I23_Carp_S05	1	epithelial
I25_Carp_S05	1	epithelial
I32_Carp_S05	1	epithelial
I34_Carp_S05	1	epithelial
I36_Carp_S05	1	epithelial
I37_Carp_S05	1	epithelial
I45_Carp_S05	1	epithelial
I46_Carp_S05	1	epithelial
I48_Carp_S05	1	epithelial
I54_Carp_S05	1	epithelial
I56_Carp_S05	1	epithelial
I60_Carp_S05	3	lymphoid
I61_Carp_S05	1	epithelial
I66_Carp_S05	1	epithelial
I67_Carp_S05	1	epithelial
I9_Carp_S05	5	fibroblast
C15_Carp_S06	1	epithelial
C16_Carp_S06	0	myeloid
C24_Carp_S06	5	fibroblast
C28_Carp_S06	1	epithelial
C2_Carp_S06	6	endothelial
C5_Carp_S06	3	lymphoid
I11_Carp_S06	1	epithelial
I14_Carp_S06	1	epithelial
I16_Carp_S06	5	fibroblast
I17_Carp_S06	1	epithelial
I20_Carp_S06	5	fibroblast
I23_Carp_S06	5	fibroblast
I25_Carp_S06	1	epithelial
I4_Carp_S06	1	epithelial
C12_Carp_S07	6	endothelial
C13_Carp_S07	5	fibroblast
C22_Carp_S07	5	fibroblast
C25_Carp_S07	1	epithelial
C2_Carp_S07	0	myeloid
C38_Carp_S07	3	lymphoid
C51_Carp_S07	1	epithelial
C56_Carp_S07	5	fibroblast
C5_Carp_S07	5	fibroblast
C71_Carp_S07	1	epithelial
C74_Carp_S07	2	myeloid
C76_Carp_S07	1	epithelial
I12_Carp_S07	1	epithelial
I13_Carp_S07	1	epithelial
I27_Carp_S07	1	epithelial
I28_Carp_S07	1	epithelial
I33_Carp_S07	0	myeloid
I38_Carp_S07	1	epithelial
I43_Carp_S07	1	epithelial
I52_Carp_S07	1	epithelial
I55_Carp_S07	1	epithelial
I61_Carp_S07	5	fibroblast
I8_Carp_S07	1	epithelial
C13_Carp_S08	1	epithelial
C23_Carp_S08	1	epithelial
C24_Carp_S08	1	epithelial
C27_Carp_S08	1	epithelial
C33_Carp_S08	1	epithelial
C34_Carp_S08	1	epithelial
C44_Carp_S08	1	epithelial
C49_Carp_S08	0	myeloid
C78_Carp_S08	1	epithelial
C82_Carp_S08	5	fibroblast
C8_Carp_S08	6	endothelial
C98_Carp_S08	1	epithelial
I100_Carp_S08	1	epithelial
I112_Carp_S08	1	epithelial
I122_Carp_S08	1	epithelial
I23_Carp_S08	1	epithelial
I25_Carp_S08	1	epithelial
I32_Carp_S08	1	epithelial
I33_Carp_S08	1	epithelial
I34_Carp_S08	1	epithelial
I40_Carp_S08	1	epithelial
I41_Carp_S08	1	epithelial
I42_Carp_S08	1	epithelial
I44_Carp_S08	1	epithelial
I49_Carp_S08	1	epithelial
I57_Carp_S08	1	epithelial
I60_Carp_S08	1	epithelial
I61_Carp_S08	1	epithelial
I68_Carp_S08	1	epithelial
